Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Profil synthétique candidat;Sexe;Académie de rattachement
1;1;CentraleSupélec;Master;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CentraleSupélec;Master;Etudiants (réorientation, mise à niveau);M;Versailles
0;;CENTRE DE FORMATION CONTINUE  CAMILLE SELINE;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CENTRE DE FORMATION CONTINUE  CAMILLE SELINE;Terminale;Lycéens de Terminale;F;Versailles
0;;Centre de Formation continue - Institut parisien de formation;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
3;2;Centre de Formation continue - Institut parisien de formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre de Formation continue - Institut parisien de formation;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
1;;Centre de Formation continue - Institut parisien de formation;Terminale;Non scolarisés;M;Paris
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Créteil
2;1;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Créteil
1;1;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;BTS - BTSA - BTSM;Non scolarisés;M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Licence professionnelle;Etudiants (réorientation, mise à niveau);M;Créteil
0;;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Licence professionnelle;Non scolarisés;M;Créteil
0;1;CENTRE DE FORMATION D'APPRENTIS AFORP - FORMATION;Terminale;Lycéens de Terminale;M;Créteil
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
0;;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Terminale;Lycéens de Terminale;F;Paris
0;1;Centre de Formation d'apprentis - CCI Paris centre des formations industrielles;Terminale;Lycéens de Terminale;M;Paris
6;3;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Versailles
3;3;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Versailles
4;1;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Non scolarisés;F;Versailles
3;2;Centre de formation d'apprentis Lohanda;BTS - BTSA - BTSM;Non scolarisés;M;Versailles
0;;Centre de formation d'apprentis Lohanda;DCG;Etudiants (réorientation, mise à niveau);F;Versailles
2;2;Centre de formation d'apprentis Lohanda;DCG;Etudiants (réorientation, mise à niveau);M;Versailles
0;1;Centre de formation d'apprentis Lohanda;DCG;Non scolarisés;M;Versailles
0;;Centre de formation d'apprentis Lohanda;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Versailles
0;;CENTRE DE FORMATION ISCG;Autre formation du supérieur;Etudiants (réorientation, mise à niveau);F;Paris
2;3;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);F;Paris
1;1;CENTRE DE FORMATION ISCG;BTS - BTSA - BTSM;Etudiants (réorientation, mise à niveau);M;Paris
0;;CENTRE DE FORMATION ISCG;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
4;2;CENTRE DE FORMATION L'HORIZON;Formations diplômantes du travail social;Etudiants (réorientation, mise à niveau);F;Versailles
1;;Centre de formation MMI DECO ;BTS - BTSA - BTSM;Non scolarisés;F;Paris
1;1;Centre de formation MMI DECO ;BTS - BTSA - BTSM;Non scolarisés;M;Paris
1;;Centre de formation MMI DECO ;Formations professionnelles;Etudiants (réorientation, mise à niveau);F;Paris
1;1;Centre d'Enseignement à Distance - Educ'etic à distance;Terminale;Lycéens de Terminale;F;Versailles
0;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;Année préparatoire à la capacité en droit;Autres;F;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;BTS - BTSA - BTSM;Non scolarisés;F;Paris
1;1;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;Etudiants (réorientation, mise à niveau);F;Paris
1;;Centre de préparation au diplôme d'état d'audioprothèsiste Conservatoire National des Arts et Métiers;DCG;Etudiants (réorientation, mise à niveau);M;Paris
