Nb de candidats ayant fait au moins un vœu confirmé PP;Nb de cddt ayant au moins une proposition Parcoursup;Etablissement;Type de formation de la scolarité;Niveau d'études;Type de la classe;Au moins 1 avis favorable en STS (Oui/Non);Cordées de la réussite
1;1;Lycée Paul Bert;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
3;3;Lycée Paul Poiret;Terminale;Terminale;Autres Diplômes et brevets de niveau 4;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;Lycée Paul Poiret;Terminale;Terminale;Professionnelle;Non;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
2;1;Lycée Paul Poiret;Terminale;Terminale;Professionnelle;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
1;1;Lycée Paul Poiret;Terminale;Terminale;Professionnelle;Non concerné;Le candidat s'est engagé dans une cordée de la réussite mais il ne souhaite pas transmettre cette information aux formations d'accueil
9;4;Lycée Paul Poiret;Terminale;Terminale;Professionnelle;Oui;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
141;112;Lycée Paul Valery;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
1;1;Lycée Paul Valery;Terminale;Terminale;Générale;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
35;26;Lycée Paul Valery;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
92;84;Lycée Pierre-Gilles de Gennes - ENCPB;Terminale;Terminale;Générale;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
85;77;Lycée Pierre-Gilles de Gennes - ENCPB;Terminale;Terminale;Technologique;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
9;9;Lycée Pierre-Gilles de Gennes - ENCPB;Terminale;Terminale;Technologique;Non concerné;Le candidat s'est engagé dans une cordée de la réussite et souhaite transmettre cette information aux formations d'accueil
46;15;Lycée professionnel Beaugrenelle;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
2;1;Lycée professionnel Beaugrenelle;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
44;43;Lycée professionnel Beaugrenelle;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
12;3;Lycée professionnel Camille Jenatzy;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
;1;Lycée professionnel Camille Jenatzy;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
21;20;Lycée professionnel Camille Jenatzy;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
30;20;Lycée professionnel Chenneviere Malezieux;Terminale;Terminale;Professionnelle;Non;Le candidat ne s'est pas engagé dans une cordée de la réussite
4;4;Lycée professionnel Chenneviere Malezieux;Terminale;Terminale;Professionnelle;Non concerné;Le candidat ne s'est pas engagé dans une cordée de la réussite
14;14;Lycée professionnel Chenneviere Malezieux;Terminale;Terminale;Professionnelle;Oui;Le candidat ne s'est pas engagé dans une cordée de la réussite
